Game,Winner,Turns,MCTSPoints,RandomPoints
0,MCTS,15,24,7
1,MCTS,10,14,12
2,MCTS,7,9,5
3,MCTS,10,11,6
4,MCTS,11,19,12
5,MCTS,12,17,15
6,MCTS,7,9,5
7,MCTS,14,17,12
8,MCTS,7,8,5
9,MCTS,10,14,5
10,MCTS,11,17,7
11,MCTS,6,6,3
12,MCTS,21,23,0
13,MCTS,12,16,10
14,MCTS,25,40,21
15,MCTS,18,30,14
16,MCTS,7,8,4
17,MCTS,12,12,8
18,MCTS,7,10,6
19,MCTS,56,48,0
20,MCTS,5,6,1
21,MCTS,6,5,2
22,MCTS,15,22,11
23,MCTS,8,10,6
24,MCTS,5,6,1
25,MCTS,14,20,15
26,MCTS,9,13,5
27,MCTS,6,6,1
28,MCTS,15,25,11
29,MCTS,8,9,7
30,MCTS,56,71,3
31,MCTS,16,25,14
32,MCTS,15,24,9
33,MCTS,14,19,12
34,MCTS,5,5,1
35,MCTS,12,16,8
36,MCTS,9,13,0
37,MCTS,6,6,5
38,MCTS,5,6,1
39,MCTS,18,27,13
40,MCTS,7,10,4
41,MCTS,10,12,9
42,MCTS,5,6,1
43,MCTS,18,27,21
44,MCTS,5,6,1
45,MCTS,16,23,7
46,MCTS,7,8,5
47,MCTS,36,51,18
48,MCTS,7,9,4
49,MCTS,16,23,11
50,MCTS,7,11,4
51,MCTS,32,49,31
52,MCTS,57,42,0
53,MCTS,10,13,9
54,MCTS,15,24,15
55,MCTS,22,36,19
56,MCTS,13,20,14
57,MCTS,12,15,13
58,MCTS,17,26,5
59,MCTS,8,10,8
60,MCTS,19,32,5
61,MCTS,12,16,11
62,MCTS,5,6,1
63,MCTS,22,31,19
64,MCTS,7,8,6
65,MCTS,12,15,10
66,MCTS,11,16,7
67,MCTS,6,6,1
68,MCTS,9,14,7
69,MCTS,12,19,13
70,MCTS,11,17,8
71,MCTS,16,22,19
72,MCTS,9,14,8
73,MCTS,14,19,13
74,MCTS,7,10,3
75,MCTS,6,6,5
76,MCTS,20,32,15
77,MCTS,18,25,14
78,MCTS,9,13,7
79,MCTS,10,13,5
80,MCTS,17,25,9
81,MCTS,18,27,18
82,MCTS,7,10,6
83,MCTS,14,20,14
84,MCTS,21,32,21
85,MCTS,22,34,12
86,MCTS,10,16,4
87,MCTS,12,17,16
88,MCTS,11,18,3
89,MCTS,10,13,1
90,MCTS,23,38,20
91,MCTS,60,52,0
92,MCTS,7,9,3
93,MCTS,6,6,1
94,MCTS,7,10,2
95,MCTS,6,6,2
96,MCTS,5,5,1
97,MCTS,16,17,15
98,MCTS,9,12,6
99,MCTS,6,6,5
